brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
rawz,0%,107/100g,11%,32%,7%,50%,0.0%,2.5%,7.0%,1.5%,78.0%,11.0%,"Chicken,Chicken Broth,Chicken Liver,Herring,Natural Flavor,Fenugreek Seeds,Choline Chloride,Potassium Chloride,Calcium Carbonate,Dandelion Greens,Taurine,Salt,Zinc Proteinate,Iron Proteinate,Niacin Supplement,Vitamin E Supplement,Copper Proteinate,Sodium Selenite,Thiamine Mononitrate,Manganese Proteinate,Vitamin A Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Ethylenediamine Dihydroiodide,Folic Acid",[4],Chicken & Herring Paté,[4],herring,"chicken,chicken liver,herring",
rawz,0%,119/100g,5%,41%,5%,50%,0.0%,1.0%,9.0%,1.0%,78.0%,11.0%,"Chicken,Chicken Liver,Chicken Broth,Fenugreek Seeds,Natural Flavor,Potassium Chloride,Choline Chloride,Calcium Carbonate,Salt,Vegetable Broth,Taurine,Tricalcium Phosphate,Zinc Proteinate,Iron Proteinate,Niacin Supplement,Vitamin E Supplement,Copper Proteinate,Sodium Selenite,Thiamine Mononitrate,Manganese Proteinate,Vitamin A Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Ethylenediamine Dihydroiodide,Folic Acid.",[4],Chicken & Chicken Liver Pâté,[4],,"chicken,chicken liver",
rawz,0%,104/100g,20%,27%,5%,48%,0.0%,4.5%,6.0%,1.0%,78.0%,10.5%,"Beef,Beef Liver,Beef Broth,Tricalcium Phosphate,Calcium Carbonate,Fenugreek Seeds,Natural Flavor,Choline Chloride,Salt,Vegetable Broth,Taurine,Potassium Chloride,Zinc Proteinate,Iron Proteinate,Niacin Supplement,Vitamin E Supplement,Copper Proteinate,Sodium Selenite,Thiamine Mononitrate,Manganese Proteinate,Vitamin A Supplement,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Ethylenediamine Dihydroiodide,Folic Acid.",[4],Beef & Beef Liver Pâté,[3],"beef,beef liver,beef broth","beef,beef liver",
prettyplease,3%,365/100g,29%,18%,5%,45%,2.7%,25.3%,16.0%,4.0%,12.0%,40.0%,"Chicken,Chicken Meal,Turkey Meal,Dried Peas,Dried Chickpeas,Tapioca Starch,Chicken Fat (Preserved With Mixed Tocopherols),Natural Flavor,Tomato Pomace,Flaxseed,Fish Meal,Salt,Choline Chloride,Fructooligosaccharide,Dried Cranberries,Dried Kelp,Vitamin E Supplement,Mixed Tocopherols (Preservative),Taurine,Yucca Schidigera Extract,Zinc Methionine Complex,Zinc Sulfate,Niacin Supplement,Iron Proteinate,Ferrous Sulfate,Vitamin A Supplement,Copper Proteinate,Copper Sulfate,Thiamine Mononitrate,d-Calcium Pantothenate,Manganese Proteinate,Pyridoxine Hydrochloride,Riboflavin Supplement,Sodium Selenite,Vitamin DS Supplement,Manganous Oxide,Vitamin B12 Supplement,Calcium Iodate,Folic Acid,Biotin,Ethylenediamine Dihydroiodide ,Dried Bacillus Coagulans Fermentation Product,Rosemary Extract",[5],Ultra Premium Cat Food,[3],fish meal,"chicken,chicken meal,turkey meal",tapioca starch
precise,8%,380/100g,31%,22%,3%,36%,7.0%,28.0%,20.0%,3.0%,10.0%,32.0%,"Salmon Meal,Ground Brown Rice,Chicken Meal,Oatmeal,Chicken Fat (preserved with Mixed Tocopherols and Ascorbyl Palmitate),Dried Egg Product,Citrus Fiber,Natural Flavor,Menhaden Fish Oil,Lecithin,Dried Kelp,Dried Carrots,Dried Cranberries,Dried Blueberries,Chamomile,Dandelion,Peppermint,Rosemary,Turmeric,Bacillus coagulans GBI-30 6086,Chicory Root (a source of Inulin),Potassium Chloride,Salt,Calcium Carbonate,Yucca Schidigera Extract,Calcium Ascorbate (source of Vitamin C),Phosphoric Acid,Taurine,Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Vitamin B12 Supplement,Iron Amino Acid Chelate,Cobalt Amino Acid Chelate,Riboflavin Supplement,L-Lysine,DL-Methionine,Niacin,Calcium Pantothenate,Manganese Amino Acid Chelate,Zinc Amino Acid Chelate,Choline Chloride,Folic Acid,Biotin,Thiamine Mononitrate (B1),Pyridoxine  Hydrochloride (B6),Sodium Selenite,Calcium Iodate,Copper Amino Acid Chelate",[3],Wild at Heart River Line - Salmon,[2],"salmon meal,dried egg product,menhaden fish oil","salmon meal,chicken meal",ground brown rice
petite cuisine,0%,59/100g,13%,13%,7%,67%,0.0%,2.0%,2.0%,1.0%,85.0%,10.0%,"Chicken broth,chicken,sweet potato,sunflower oil,cranberry,tricalcium phosphate,guar gum,tapioca starch,olive oil,salt,choline chloride,magnesium sulfate,taurine,zinc oxide,reduced iron,vitamin E supplement,sodium selenite,thiamine mononitrate,manganese sulfate,niacin supplement,vitamin A supplement,copper glycine complex,pyridoxine hydrochloride (vitamin B6),calcium pantothenate,riboflavin supplement (vitamin B2),potassium iodide,folic acid,vitamin B12 supplement,vitamin D3 supplement,biotin supplement (vitamin B7)",[2],Sweet Ivy’s Chicken,[4],,chicken,"guar gum,tapioca starch"
petguard,12%,87/100g,36%,20%,5%,27%,2.6%,7.9%,4.5%,1.0%,78.0%,6.0%,"Water Sufficient for Processing,Venison,Brown Rice,Rice Flour,Dried Egg Product,Sunflower Oil,Salt,Guar Gum,Potassium Chloride,Choline Chloride,Taurine,DL-Methionine,Calcium Carbonate,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Deflourinated Tricalcium Phosphate,Vitamin E Supplement,Niacin,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,d-Calcium Pantothenate,Thiamine Mononitrate (Vitamin B1),Vitamin A Supplement,Sodium Selenite,Riboflavin Supplement (Vitamin B2),Pyridoxine Hydrochloride (Vitamin B6),Ergocalciferol (Source of Vitamin D2),Vitamin B12 Supplement,Calcium Iodate,Biotin,Cobalt Amino Acid Chelate,Folic Acid,Inositol.  ",[1],Venison & Rice Dinner,[1],dried egg product,venison,"brown rice,rice flour,guar gum,deflourinated tricalcium phosphate"
petcurean,7%,332/100g,38%,12%,6%,38%,6.0%,34.0%,11.0%,5.0%,10.0%,34.0%,"Chicken meal,whole brown rice,oatmeal,potatoes,peas,chicken fat (preserved with mixed tocopherols),natural chicken flavour,salmon meal,turkey meal,salmon oil,potassium chloride,calcium sulphate,phosphoric acid,sodium chloride,choline chloride,vitamins (vitamin A supplement,vitamin D3 supplement,vitamin E supplement,niacin,inositol,L-ascorbyl-2-polyphosphate (a source of vitamin C),thiamine mononitrate,d-calcium pantothenate,riboflavin,pyridoxine hydrochloride,beta-carotene,folic acid,biotin,vitamin B12 supplement),minerals (zinc proteinate,iron proteinate,copper proteinate,zinc oxide,manganese proteinate,copper sulphate,calcium iodate,ferrous sulphate,manganous oxide,sodium selenite),taurine,DL-methionine,dried chicory root,yeast extract,yucca schidigera extract,L-carnitine,dried rosemary",[2],SUMMIT Three Meat Indoor Cat Recipe,[2],"salmon meal,salmon oil","chicken meal,salmon meal,turkey meal",whole brown rice
performatrin,0%,365/100g,50%,13%,3%,33%,0.0%,45.0%,12.0%,3.0%,10.0%,30.0%,"Sweet Potato,Chicken,Chicken Meal,Potato Protein,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Natural Flavor,Pea Fiber,Flaxseed,Potassium Chloride,Dicalcium Phosphate,Salmon Oil (preserved with Mixed Tocopherols and Citric Acid),DL-Methionine,Salt,Taurine,Choline Chloride,Yucca Schidigera Extract,Rosemary Extract,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Vitamins (Vitamin E Supplement,Niacin,Biotin,Thiamine Mononitrate,Vitamin A Supplement,d-Calcium Pantothenate,Carotene,Riboflavin,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Vitamin D3 Supplement,Folic Acid),Minerals (Zinc Proteinate,Ferrous Sulfate,Zinc Oxide,Iron Proteinate,Copper Sulfate,Sodium Selenite,Copper Proteinate,Manganese Proteinate,Manganous Oxide,Calcium Iodate)",[4],Ultra Limited Sweet Potato & Chicken Formula,[1],salmon oil,"chicken,chicken meal",
paws & claws,2%,350/100g,34%,14%,5%,45%,2.0%,29.5%,12.5%,4.0%,12.0%,40.0%,"chicken by product meal,corn gluten meal,brewers rice,soybean meal,ground wheat,animal fat (preserved with bha),natural flavors (source of chicken flavor) brewers dried yeast,potassium chloride,calcium sulfate,taurine,salt,added color (red 40),fish oil (source of dha) ,vitamins : (choline chloride,vitamin e supplement,vitamin a supplement,vitamin d3 supplement,niacin,calcium pantothenate,thiamine mononitrate,pyridoxine hydrocholoride,folic acid,menadione sodium,bisulfite complex (source of vitamin k),biotin,rifoflavin supplement,vitamin b12 supplement),minerals: (zinc sulfate,ferrous sulfate,copper sulfate,manganese sulfate,calcium carbonate,calcium iodate,sodium selenite)",[1],Kitten Mix,[2],"corn gluten meal,soybean meal,fish oil",,"chicken by product meal,corn gluten meal,brewers rice,soybean meal,ground wheat"
oven baked tradition,9%,323/100g,46%,10%,3%,32%,8.0%,41.5%,9.0%,2.5%,10.0%,29.0%,"Fresh chicken,Chicken meal,Ground hulled barley,Brown rice,Fresh chicken liver,Dried beet pulp,Brewer’s yeast,Natural flavor,Pumpkin,Fresh fish,Cranberries,Dried egg product,Potassium chloride,Calcium sulfate,Salmon oil,Canola oil (preserved with mixed tocopherols and citric acid),Spinach,Choline chloride,Ground whole flaxseed,Taurine,Apples,Bananas,Blueberries,Broccoli,Dried algae,Sweet potatoes,Vitamin E supplement,Glucosamine hydrochloride,Yucca schidigera extract,Inulin (prebiotic),Pineapple,Chondroitin sulfate,Ascorbic acid (vitamin C),Iron sulfate,DL-methionine,Zinc sulfate,Zinc proteinate,Green tea extract,Niacin supplement,Manganese proteinate,Copper sulfate,Copper proteinate,Vitamin A supplement,Manganese sulfate,Thiamine mononitrate,Calcium D-pantothenate,Pyridoxine hydrochloride,Biotin,Riboflavin supplement,Vitamin B12 supplement,Vitamin D3 supplement,Calcium iodate,Folic acid,Sodium selenite,Rosemary extract. May contain traces of peanuts",[3],Senior & Weight Management Chicken,[1],"fresh fish,dried egg product,salmon oil","fresh chicken,chicken meal,fresh chicken liver",brown rice
orijen,10%,373/100g,20%,22%,3%,44%,9.0%,18.0%,20.0%,3.0%,10.0%,40.0%,"Goat,wild boar,venison,arctic char,duck,mutton,steelhead trout,duck liver,wild boar liver,wild boar kidney,mackerel meal,whole pilchard,lamb meal,mutton meal,alaskan cod meal,blue whiting meal,duck fat,herring meal,whole red lentils,whole green lentils,whole green peas,whole chickpeas,whole yellow peas,whole pinto beans,lentil fiber,mutton tripe,herring oil,goat heart,goat kidney,goat liver,venison heart,venison liver,mutton liver,wild boar heart,whole navy beans,freeze-dried goat liver,freeze-dried venison liver,whole pumpkin,whole butternut squash,whole zucchini,whole parsnips,carrots,whole apples,whole pears,kale,spinach greens,beet greens,turnip greens,dried brown kelp,whole cranberries,whole blueberries,choline chloride,zinc proteinate,mixed tocopherols (preservative),copper proteinate,chicory root,turmeric,sarsaparilla root,althea root,rosehips,juniper berries,dried lactobacillus acidophilus fermentation product,dried bifidobacterium animalis fermentation product,dried lactobacillus casei fermentation product",[5],Tundra (USA),[3],"arctic char,steelhead trout,mackerel meal,whole pilchard,lamb meal,alaskan cod meal,blue whiting meal,herring meal,herring oil","goat,wild boar,venison,arctic char,duck,mutton,duck liver,wild boar liver,wild boar kidney,mackerel meal,whole pilchard,lamb meal,mutton meal,blue whiting meal,herring meal,mutton tripe,goat heart,goat kidney,goat liver,venison heart,venison liver,mutton liver,wild boar heart,freeze-dried goat liver,freeze-dried venison liver",
open farm,2%,388/100g,34%,20%,3%,41%,1.8%,30.2%,18.0%,3.0%,10.0%,37.0%,"Wild caught salmon,ocean caught whitefish meal,herring meal,garbanzo beans (chickpeas),red lentils,coconut oil (preserved with mixed tocopherols),herring oil (preserved with mixed tocopherols),pumpkin,natural flavour,green lentils,salmon oil,cranberries,chicory root,apples,dandelion greens,choline chloride,salt,turmeric,dried yucca schidigera extract,mixed tocopherols (a natural preservative),taurine,rosemary extract,Vitamin e supplement,thiamine mononitrate,niacin supplement,d-calcium pantothenate,biotin,vitamin a supplement,riboflavin supplement,vitamin b12 supplement,pyridoxine hydrochloride,vitamin d3 supplement,folic acid,Calcium carbonate,zinc proteinate,iron proteinate,copper proteinate,manganese proteinate,sodium selenite,calcium iodate",[4],Wild-Caught Salmon,[3],"wild caught salmon,ocean caught whitefish meal,herring meal,herring oil,salmon oil","wild caught salmon,ocean caught whitefish meal,herring meal",
only natural pet,0%,386/100g,34%,19%,4%,42%,0.0%,31.0%,17.0%,4.0%,10.0%,38.0%,"Rabbit Meal,Turkey Meal,Chicken Meal,Garbanzo Beans,Chicken Fat (Preserved with Mixed Tocopherols),Tapioca Starch,Field Peas,Lentils,Pea Protein,Pea Fiber,Salmon Oil,Flaxseed,Natural Flavor,Potassium Chloride,Salt,Vitamins [Vitamin E Supplement,Calcium Pantothenate,Niacin Supplement,Vitamin A Supplement,Riboflavin Supplement,Vitamin D3 Supplement,Vitamin B12 Supplement,Thiamine Mononitrate,Pyridoxine Hydrochloride,Folic Acid],Minerals [Zinc Proteinate,Calcium Carbonate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Calcium Iodate],Choline Chloride,Taurine,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation product,Dried Trichoderma longibrachiatum fermentation product,Dried Bacillus subtilis fermentation extract,Pumpkin Meal,DL- Methionine,Yucca Schidigera Extract,Turmeric,Green Lipped Mussel,Rosemary Extract",[5],Rabbit Dinner,[3],"salmon oil,green lipped mussel","rabbit meal,turkey meal,chicken meal",tapioca starch
nutro,1%,341/100g,41%,13%,9%,37%,0.9%,36.6%,11.5%,8.0%,10.0%,33.0%,"Chicken,Chicken Meal,Pea Protein,Whole Brown Rice,Brewers Rice,Split Peas,Dehydrated Alfalfa Meal,Dried Plain Beet Pulp,Potato Protein,Oat Fiber,Chicken Fat (preserved with Mixed Tocopherols),Rice Bran,Natural Flavor,Salmon Meal,Potassium Chloride,Choline Chloride,DL-Methionine,Salt,Mixed Tocopherols and Citric Acid (preservatives),Taurine,Zinc Sulfate,Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Iron Amino Acid Chelate,Yucca Schidigera Extract,Vitamin B12 Supplement,Copper Amino Acid Chelate,Niacin Supplement,Manganese Amino Acid Chelate,Biotin,Riboflavin Supplement (Vitamin B2),D-Calcium Pantothenate,Thiamine Mononitrate (Vitamin B1),Vitamin A Supplement,Pyridoxine Hydrochloride (Vitamin B6),Sodium Selenite,Vitamin D3 Supplement,Potassium Iodide,Folic Acid,Rosemary Extract",[3],Wholesome Essentials Weight Management Chicken & Whole Brown Rice Recipe,[2],salmon meal,"chicken,chicken meal,salmon meal","whole brown rice,brewers rice,rice bran"
nutrisource,0%,304/100g,40%,10%,18%,32%,0.0%,36.0%,9.0%,16.0%,10.0%,29.0%,"Chicken meal,peas,pea fiber,barley,oatmeal,natural flavor,beet pulp-dried,fish meal,chicken fat (preserved with mixed tocopherols and citric acid),yeast extract,dried brewers yeast,alfalfa meal,dried tomato pomace,phosphoric acid,flax seed,potassium chloride,salt,sunflower oil,DL methionine,dried egg product,minerals (iron proteinate,zinc proteinate,copper proteinate,manganese proteinate,cobalt proteinate),choline chloride,cranberry powder,vitamins (vitamin A acetate,vitamin D3 supplement,vitamin E supplement,niacin,d-calcium pantothenate,thiamine mononitrate,riboflavin supplement,pyridoxine hydrochloride,folic acid,biotin,vitamin B12 supplement),chicory extract,lactic acid,taurine,inositol,L-ascorbyl-2-polyphosphate,yucca schidigera extract,ascorbic acid (source of vitamin C),calcium iodate,sodium selenite,rosemary extract,yeast culture (Saccharomyces cerevisiae),dried Lactobacillus acidophilus fermentation product,dried Enterococcus faecium fermentation product,dried Aspergillus niger fermentation extract,dried Trichoderma longibrachiatum fermentation extract,dried Bacillus subtilis fermentation extract",[4],Senior / Weight Management,[2],"fish meal,dried egg product",chicken meal,
nutrisca,11%,73/100g,0%,25%,8%,56%,2.0%,0.0%,4.5%,1.5%,82.0%,10.0%,"Chicken Broth,Chicken,Shrimp,Sunflower Oil,Tapioca,Tricalcium Phosphate,Xanthan Gum,Choline Chloride,Potassium Chloride,Magnesium Sulfate,Taurine,Fructooligosaccharide,Salt,Ascorbic Acid,Iron Proteinate,Zinc Proteinate,Niacin,Vitamin E Supplement,Copper Proteinate,Vitamin A Supplement,Thiamine Mononitrate,Manganese Proteinate,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Folic Acid,Calcium Iodate,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement",[3],ruly Shredded Chicken & Shrimp Entrée In Savory Broth Canned Cat Food,[5],shrimp,"chicken,shrimp",
nutrience,8%,377/100g,19%,22%,4%,47%,7.5%,17.0%,20.0%,3.5%,10.0%,42.0%,"Deboned chicken,deboned turkey,chicken meal,turkey meal,salmon,chicken liver,chicken heart,turkey liver,turkey heart,herring,cod,cod liver,whole eggs,peas,chicken fat (preserved with mixed tocopherols),red lentils,sweet potatoes,chickpeas,natural chicken flavor,sun-cured alfalfa meal,freeze-dried chicken,freeze-dried pumpkin,freeze-dried chicken liver,freeze-dried green mussels,freeze-dried cod liver,freeze-dried kelp,salmon oil,herring oil,coconut oil,pumpkin,butternut squash,carrots,spinach,broccoli,apples,blueberries,cranberries,pomegranate,juniper berry extract,ginger,fennel,chamomile,peppermint leaf,licorice root,turmeric,valerian root,vitamins (vitamin E supplement,ascorbic acid (vitamin C),vitamin A supplement,niacin,calcium pantothenate,inositol,riboflavin,pyridoxine hydrochloride,thiamine mononitrate,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid),minerals (zinc oxide,zinc proteinate,iron proteinate,ferrous sulfate,copper proteinate,copper sulfate,manganese proteinate,manganous oxide,calcium iodate,sodium selenite),salt,choline chloride,taurine,potassium chloride,DL-methionine,L-lysine,chicory root extract,yucca schidigera extract,yeast extract,thyme extract,glucosamine hydrochloride,rosemary extract,chondroitin sulfate,L-carnitine,dried Lactobacillus plantarum fermentation product,dried Enterococcus faecium fermentation product,dried Bacillus subtilis fermentation product,dried Bifidobacterium animalis fermentation product,dried Lactobacillus casei fermentation product,dried Lactobacillus helveticus fermentation product,dried Bifidobacterium longum fermentation product,dried Lactobacillus acidophilus fermentation product.",[5],Subzero Freeze-Dried Poultry & Fish,[3],"salmon,herring,cod,cod liver,whole eggs,freeze-dried green mussels,freeze-dried cod liver,salmon oil,herring oil","deboned chicken,deboned turkey,chicken meal,turkey meal,salmon,chicken liver,chicken heart,turkey liver,turkey heart,herring,cod,cod liver,freeze-dried chicken,freeze-dried chicken liver,freeze-dried cod liver",licorice root
nutreco,9%,367/100g,26%,20%,3%,42%,8.0%,23.0%,18.0%,3.0%,10.0%,38.0%,"Chicken meal,deboned turkey,peas,dried whole egg,navy beans,pea starch,chicken fat (preserved with mixed tocopherols),suncured alfalfa,flaxseed,deboned duck,natural flavour,tomato pomace,algae meal,vitamins (vitamin E supplement,L-ascorbyl-2-polyphosphate (source of vitamin C),beta-carotene,niacin,vitamin A supplement,thiamine mononitrate,d-calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid),choline chloride,salt,calcium sulphate,minerals (calcium carbonate,ferrous sulphate,zinc sulphate,copper sulphate,zinc proteinate,iron proteinate,manganese sulphate,manganese proteinate,copper proteinate,sodium selenite,calcium iodate),carrots,apples,pumpkin,tomatoes,spinach,zucchini,cranberries,blueberries,olive oil (preserved with mixed tocopherols),taurine,yucca schidigera,dried kelp,dried chicory root,yeast extract (source of mannan-oligosaccharides),L-carnitine,aniseed,cassia,thyme,rosemary,green tea,horseradish,barley grass,ginger,turmeric,fenugreek,aloe vera,juniper,dried Bacillus subtilis fermentation product,dried Bacillus licheniformis fermentation product,dried Lactobacillus acidophilus fermentation product,dried Lactobacillus casei fermentation product,dried Bifidobacterium bifidum fermentation product,dried Enterococcus faecium fermentation product,dried Aspergillus oryzae fermentation product",[4],Wholesome Blend Turkey & Duck Recipe,[3],dried whole egg,"chicken meal,deboned turkey,deboned duck",pea starch
nutram,2%,371/100g,32%,19%,7%,40%,2.2%,28.8%,17.0%,6.0%,10.0%,36.0%,"Deboned Trout,Salmon Meal,Menhaden Fish Meal,Peas,Lentils,Chickpeas,Canola Oil (preserved with Mixed Tocopherols),Deboned Salmon,Salmon Oil,Natural Flavor,Carrots,Apples,Butternut Squash,Quinoa Seed,Choline Chloride,Cranberries,Blueberries,Blackberries,Kale,Chicory Root Extract,Vitamins & Minerals (Vitamin E Supplement,Niacin (source of Vitamin B3),Vitamin A Supplement,Thiamine Mononitrate (source of Vitamin B1),d-Calcium Pantothenate (source of Vitamin B5),Pyridoxine Hydrochloride (source of Vitamin B6),Riboflavin (source of Vitamin B2),Beta-Carotene,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement,Zinc Proteinate,Ferrous Sulfate,Zinc Oxide,Iron Proteinate,Copper Sulfate,Copper Proteinate,Manganese Proteinate,Manganous Oxide,Calcium Iodate,Sodium Selenite),Taurine,Yucca schidigera Extract,Spinach,Celery Seeds,Peppermint,Chamomile,Turmeric,Ginger,Rosemary",[4],T24 Total Grain-Free Trout And Salmon Meal Recipe Dry,[2],"deboned trout,salmon meal,menhaden fish meal,deboned salmon,salmon oil","deboned trout,salmon meal,menhaden fish meal,deboned salmon",
nutram,2%,384/100g,31%,21%,6%,40%,1.9%,27.7%,19.0%,5.5%,10.0%,36.0%,"Deboned Chicken,Deboned Turkey,Chicken Meal,Whole Eggs,Turkey Meal,Lentils,Peas,Chickpeas,Chicken Fat (preserved with Mixed Tocopherols),Split Peas,Flaxseed,Natural Chicken Flavor,Pumpkin,Broccoli,Quinoa Seed,Dried Cranberries,Choline Chloride,Pomegranate,Raspberries,Kale,Salt,Chicory Root Extract,Vitamins & Minerals (Vitamin E Supplement,Niacin (source of Vitamin B3),Vitamin A Supplement,Thiamine Mononitrate (source of Vitamin B1),d-Calcium Pantothenate (source of Vitamin B5),Pyridoxine Hydrochloride (source of Vitamin B6),Riboflavin (source of Vitamin B2),Beta-Carotene,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement,Zinc Proteinate,Ferrous Sulfate,Zinc Oxide,Iron Proteinate,Copper Sulfate,Copper Proteinate,Manganese Proteinate,Manganous Oxide,Calcium Iodate,Sodium Selenite),DL-Methionine,Taurine,Yucca schidigera Extract,Spinach,Celery Seeds,Peppermint,Chamomile,Turmeric,Ginger,Rosemary",[5],T22 Total Grain-Free Chicken And Turkey Recipe Dry,[2],whole eggs,"deboned chicken,deboned turkey,chicken meal,turkey meal",
nutram,2%,366/100g,40%,17%,6%,36%,2.0%,36.1%,15.0%,5.0%,10.0%,32.0%,"Chicken Meal,Deboned Chicken,Salmon Meal,Peas,Oatmeal,Brown Rice,Pearled Barley,Chicken Fat (preserved with Mixed Tocopherols),Lentils,Dehydrated Alfalfa Meal,Natural Chicken Flavor,Pea Fiber,Salmon Oil,Flaxseed,Apples,Carrots,Pumpkin,Dried Kelp,Choline Chloride,Potassium Chloride,DL-Methionine,Pomegranate,Cranberries,Chicory Root Extract,Vitamins & Minerals (Vitamin E Supplement,Niacin (source of Vitamin B3),Vitamin A Supplement,Thiamine Mononitrate (source of Vitamin B1),d-Calcium Pantothenate (source of Vitamin B5),Pyridoxine Hydrochloride (source of Vitamin B6),Riboflavin (source of Vitamin B2),Beta-Carotene,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement,Zinc Proteinate,Ferrous Sulfate,Zinc Oxide,Iron Proteinate,Copper Sulfate,Copper Proteinate,Manganese Proteinate,Manganous Oxide,Calcium Iodate,Sodium Selenite),Taurine,Yucca schidigera Extract,Spinach,Celery Seeds,Peppermint,Chamomile,Turmeric,Ginger,Rosemary",[5],S5 Sound Balanced Wellness Adult & Senior Dry,[2],"salmon meal,salmon oil","chicken meal,deboned chicken,salmon meal",brown rice
nutram,2%,382/100g,35%,20%,5%,38%,2.1%,31.5%,18.0%,4.5%,10.0%,34.0%,"Chicken Meal,Salmon Meal,Deboned Chicken,Oatmeal,Brown Rice,Chicken Fat (preserved with Mixed Tocopherols),Pearled Barley,Lentils,Peas,Dehydrated Alfalfa Meal,Salmon Oil,Natural Chicken Flavor,Flaxseed,Apples,Carrots,Pumpkin,Choline Chloride,Potassium Chloride,Pomegranate,Cranberries,Chicory Root Extract,Dried Kelp,Taurine,DL-Methionine,Vitamins & Minerals (Vitamin E Supplement,Niacin (source of Vitamin B3),Vitamin A Supplement,Thiamine Mononitrate (source of Vitamin B1),d-Calcium Pantothenate (source of Vitamin B5),Pyridoxine Hydrochloride (source of Vitamin B6),Riboflavin (source of Vitamin B2),Beta-Carotene,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement,Zinc Proteinate,Ferrous Sulfate,Zinc Oxide,Iron Proteinate,Copper Sulfate,Copper Proteinate,Manganese Proteinate,Manganous Oxide,Calcium Iodate,Sodium Selenite),Salt,Psyllium Seed Husk,Yucca schidigera Extract,Spinach,Celery Seeds,Peppermint,Chamomile,Turmeric,Ginger,Rosemary",[3],S1 Sound Balanced Wellness Kitten Dry,[2],"salmon meal,salmon oil","chicken meal,salmon meal,deboned chicken",brown rice
nutram,3%,363/100g,43%,16%,4%,34%,2.3%,38.7%,14.0%,4.0%,10.0%,31.0%,"Chicken Meal,Brown Rice,Rice,Pearled Barley,Salmon Meal,Chicken Fat (preserved with Mixed Tocopherols),Whole Eggs,Flaxseed,Natural Chicken Flavor,Dried Beet Pulp,Salmon Oil,Potassium Chloride,Choline Chloride,Dried Cranberries,Chicory Root Extract,Taurine,DL-Methionine,Vitamins & Minerals (Vitamin E Supplement,Niacin (source of Vitamin B3),Vitamin A Supplement,Thiamine Mononitrate (source of Vitamin B1),d-Calcium Pantothenate (source of Vitamin B5),Pyridoxine Hydrochloride (source of Vitamin B6),Riboflavin (source of Vitamin B2),Beta-Carotene,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement,Zinc Proteinate,Ferrous Sulfate,Zinc Oxide,Iron Proteinate,Copper Sulfate,Copper Proteinate,Manganese Proteinate,Manganous Oxide,Calcium Iodate,Sodium Selenite),Yucca schidigera Extract,Spinach,Celery Seeds,Peppermint,Chamomile,Turmeric,Ginger,Rosemary",[3],"I19 Ideal Solution Support Skin, Coat And Stomach Dry",[1],"salmon meal,whole eggs,salmon oil","chicken meal,salmon meal","brown rice,rice"
